,Date,Open,High,Low,Close
387,108/08/05,"10,528.87","10,542.49","10,418.25","10,423.41"
388,108/08/06,"10,304.88","10,425.60","10,180.04","10,394.75"
389,108/08/07,"10,422.89","10,461.37","10,366.54","10,386.18"
390,108/08/08,"10,383.62","10,500.77","10,383.62","10,494.49"
391,108/08/12,"10,491.79","10,514.05","10,440.77","10,472.36"
392,108/08/13,"10,436.62","10,436.62","10,361.89","10,362.66"
393,108/08/14,"10,444.50","10,518.02","10,427.73","10,427.73"
394,108/08/15,"10,374.75","10,374.75","10,287.76","10,327.13"
395,108/08/16,"10,345.42","10,456.32","10,318.37","10,420.89"
396,108/08/19,"10,449.39","10,516.05","10,449.39","10,488.75"
397,108/08/20,"10,508.42","10,538.12","10,497.13","10,522.50"
398,108/08/21,"10,526.87","10,545.25","10,504.49","10,525.80"
399,108/08/22,"10,560.01","10,596.41","10,515.72","10,529.78"
400,108/08/23,"10,526.15","10,541.73","10,503.07","10,538.11"
401,108/08/26,"10,453.40","10,453.40","10,340.15","10,354.57"
402,108/08/27,"10,386.21","10,431.78","10,368.96","10,387.23"
403,108/08/28,"10,397.60","10,456.30","10,397.60","10,434.29"
404,108/08/29,"10,440.15","10,466.99","10,406.49","10,462.43"
405,108/08/30,"10,504.28","10,618.05","10,504.28","10,618.05"
406,108/09/02,"10,613.19","10,634.85","10,589.42","10,634.85"
407,108/09/03,"10,629.22","10,650.15","10,557.03","10,558.21"
408,108/09/04,"10,566.32","10,670.43","10,566.32","10,657.31"
409,108/09/05,"10,718.40","10,766.60","10,714.27","10,756.93"
410,108/09/06,"10,783.46","10,803.07","10,753.45","10,780.64"
411,108/09/09,"10,808.68","10,829.44","10,778.15","10,801.14"
412,108/09/10,"10,791.95","10,810.03","10,732.78","10,753.58"
413,108/09/11,"10,787.65","10,815.59","10,746.87","10,790.35"
414,108/09/12,"10,830.25","10,862.68","10,804.02","10,827.55"
415,108/09/16,"10,822.69","10,898.13","10,822.69","10,898.13"
416,108/09/17,"10,908.85","10,912.23","10,866.43","10,874.50"
417,108/09/18,"10,887.42","10,971.54","10,878.34","10,929.45"
418,108/09/19,"10,947.62","10,954.18","10,874.66","10,894.70"
419,108/09/20,"10,908.10","10,931.76","10,903.45","10,929.69"
420,108/09/23,"10,924.81","10,948.19","10,905.92","10,919.02"
421,108/09/24,"10,917.44","10,947.53","10,886.62","10,918.01"
422,108/09/25,"10,885.67","10,885.67","10,825.85","10,873.69"
423,108/09/26,"10,909.57","10,934.91","10,856.96","10,871.99"
424,108/09/27,"10,904.00","10,921.17","10,827.61","10,829.68"
425,108/10/01,"10,855.60","10,967.65","10,855.60","10,967.65"
426,108/10/02,"10,945.92","10,965.20","10,927.39","10,947.88"
427,108/10/03,"10,866.50","10,888.40","10,809.28","10,875.91"
428,108/10/04,"10,907.69","10,941.49","10,854.12","10,894.48"
429,108/10/07,"10,932.24","10,954.45","10,919.43","10,935.06"
430,108/10/08,"10,986.01","11,020.51","10,986.01","11,017.31"
431,108/10/09,"10,976.93","10,989.39","10,889.96","10,889.96"
432,108/10/14,"11,004.74","11,085.49","11,004.74","11,066.95"
433,108/10/15,"11,103.50","11,126.45","11,091.29","11,111.80"
434,108/10/16,"11,166.17","11,180.11","11,113.18","11,162.83"
435,108/10/17,"11,156.14","11,186.88","11,131.45","11,186.88"
436,108/10/18,"11,190.21","11,237.38","11,154.86","11,180.22"
437,108/10/21,"11,166.24","11,188.13","11,147.86","11,184.15"
438,108/10/22,"11,221.19","11,271.25","11,218.25","11,271.25"
439,108/10/23,"11,266.18","11,281.12","11,209.10","11,239.67"
440,108/10/24,"11,266.84","11,320.14","11,254.59","11,320.14"
441,108/10/25,"11,336.64","11,347.18","11,281.37","11,296.12"
442,108/10/28,"11,321.99","11,341.03","11,295.44","11,315.02"
443,108/10/29,"11,347.39","11,373.95","11,292.83","11,333.87"
444,108/10/30,"11,336.97","11,380.28","11,306.95","11,380.28"
445,108/10/31,"11,393.68","11,428.42","11,358.71","11,358.71"
446,108/11/01,"11,373.70","11,399.53","11,335.51","11,399.53"
447,108/11/04,"11,451.72","11,559.07","11,451.72","11,556.85"
448,108/11/05,"11,576.18","11,644.03","11,576.18","11,644.03"
449,108/11/06,"11,645.08","11,668.20","11,601.70","11,653.07"
450,108/11/07,"11,642.91","11,647.47","11,552.08","11,606.56"
451,108/11/08,"11,620.89","11,642.41","11,561.31","11,579.54"
452,108/11/11,"11,570.33","11,570.33","11,409.83","11,427.28"
453,108/11/12,"11,463.33","11,520.37","11,459.68","11,520.37"
454,108/11/13,"11,483.24","11,509.37","11,439.09","11,467.83"
455,108/11/14,"11,488.74","11,498.25","11,424.77","11,450.42"
456,108/11/15,"11,485.46","11,552.25","11,485.46","11,525.60"
457,108/11/18,"11,543.80","11,599.78","11,532.97","11,599.78"
458,108/11/19,"11,608.48","11,656.40","11,576.79","11,656.40"
